short_name,long_name,player_id,player_overall,potential,age,height_cm,weight_kg,value_millions_eur,wage_thousands_eur,pace,shooting,passing,dribbling,defending,physic,player_positions,preferred_foot,nationality_name,league_name,skill_moves,weak_foot,international_reputation,club_name,team_overall,domestic_prestige,def_style,off_chance_creation,overall15,value_millions_eur15,country
Y. Fofana,Youssouf Fofana,245630,80,84,23,185,74,27.5,46.0,71.0,67.0,74.0,77.0,76.0,78.0,"CDM, CM",Right,France,Ligue 1,3,3,2,Monaco,77.0,8.0,Pressure On Heavy Touch,Possession,0,0.0,France
E. Fernández,Enzo Jeremías Fernández,247090,80,87,21,180,77,42.5,13.0,74.0,73.0,79.0,79.0,74.0,81.0,"CM, CDM",Right,Argentina,Liga Portugal,3,4,1,Benfica,79.0,10.0,Press After Possession Loss,Balanced,0,0.0,Portugal
Ibañez,Roger Ibañez Da Silva,247257,80,84,23,185,73,27.0,54.0,83.0,32.0,45.0,58.0,82.0,79.0,CB,Right,Brazil,Serie A,2,2,2,Roma,80.0,8.0,Balanced,Possession,0,0.0,Italy
E. Tapsoba,Edmond Fayçal Tapsoba,247263,80,85,23,192,84,29.0,46.0,70.0,54.0,65.0,70.0,82.0,79.0,CB,Right,Burkina Faso,Bundesliga,2,3,2,Bayer 04 Leverkusen,80.0,8.0,Press After Possession Loss,Balanced,0,0.0,Germany
Renan Lodi,Renan Augusto Lodi dos Santos,251573,80,85,24,173,68,29.5,46.0,83.0,68.0,76.0,79.0,74.0,74.0,"LWB, LB, LM",Left,Brazil,Premier League,4,3,1,Nottingham Forest,76.0,1.0,Balanced,Forward Runs,0,0.0,England
J. Timber,Jurriën David Norman Timber,251805,80,88,21,179,77,44.5,14.0,81.0,47.0,67.0,77.0,81.0,81.0,"CB, RB",Right,Netherlands,Eredivisie,3,3,2,Ajax,78.0,10.0,Balanced,Possession,0,0.0,Netherlands
Beto,Norberto Bercique Gomes Betuncal,251892,80,83,24,194,88,29.0,22.0,87.0,79.0,58.0,74.0,25.0,82.0,ST,Right,Portugal,Serie A,3,3,1,Udinese,75.0,4.0,Balanced,Possession,0,0.0,Italy
Nuno Mendes,Nuno Alexandre Tavares Mendes,252145,80,88,20,176,70,44.0,54.0,89.0,57.0,73.0,78.0,74.0,73.0,"LB, LWB",Left,Portugal,Ligue 1,3,4,1,Paris Saint Germain,85.0,10.0,Press After Possession Loss,Possession,0,0.0,France
A. Musrati,Almoatasembellah Ali Mohamed Al musrati,252308,80,83,26,189,83,25.0,18.0,62.0,61.0,70.0,70.0,79.0,83.0,"CDM, CM",Right,Libya,Liga Portugal,2,2,1,Sporting Braga,76.0,8.0,Pressure On Heavy Touch,Direct Passing,0,0.0,Portugal
Gavi,Pablo Martín Páez Gavira,264240,80,87,17,173,68,39.0,18.0,76.0,64.0,77.0,83.0,65.0,70.0,"CM, LW, RW",Right,Spain,La Liga,3,3,1,FC Barcelona,84.0,10.0,Balanced,Possession,0,0.0,Spain
Joaquín,Joaquín Sánchez Rodríguez,45186,79,79,40,179,75,2.0,20.0,65.0,77.0,85.0,80.0,44.0,51.0,"RM, LM, CAM",Right,Spain,La Liga,4,3,2,Real Betis,79.0,6.0,Press After Possession Loss,Possession,78,4.5,Spain
Diego López,Diego López Rodríguez,146748,79,79,40,196,89,1.9,11.0,43.0,68.0,68.0,78.0,80.0,76.0,GK,Right,Spain,La Liga,1,3,3,Rayo Vallecano,76.0,3.0,Balanced,Possession,83,6.0,Spain
João Moutinho,João Filipe Iria Santos Moutinho,162347,79,79,35,170,61,7.0,62.0,43.0,69.0,81.0,78.0,68.0,64.0,CM,Right,Portugal,Premier League,3,4,3,Wolverhampton Wanderers,78.0,5.0,Balanced,Forward Runs,82,20.5,England
S. Mandanda,Steve Mandanda,163705,79,79,37,187,82,1.9,25.0,49.0,74.0,74.0,79.0,77.0,77.0,GK,Right,France,Ligue 1,1,2,3,Rennes,77.0,7.0,Balanced,Balanced,82,12.5,France
J. Evans,Jonathan Grant Evans,169588,79,79,34,188,77,5.5,76.0,49.0,32.0,61.0,58.0,82.0,75.0,CB,Right,Northern Ireland,Premier League,2,4,2,Leicester City,79.0,6.0,Balanced,Possession,79,10.0,England
E. Lamela,Erik Lamela,170368,79,79,30,181,79,17.0,34.0,80.0,76.0,78.0,82.0,53.0,69.0,"RW, CAM, ST",Left,Argentina,La Liga,4,3,2,Sevilla,81.0,8.0,Pressure On Heavy Touch,Possession,80,18.5,Spain
M. Hamšík,Marek Hamšík,171877,79,79,34,183,73,8.0,42.0,64.0,77.0,82.0,80.0,71.0,70.0,"CM, CDM",Right,Slovakia,Super Lig,4,5,3,Trabzonspor,76.0,6.0,Balanced,Possession,87,48.5,Turkey
Ó. Trejo,Óscar Guido Trejo,173030,79,79,34,180,79,8.0,25.0,68.0,76.0,78.0,82.0,71.0,77.0,CAM,Right,Argentina,La Liga,3,4,1,Rayo Vallecano,76.0,3.0,Balanced,Possession,77,8.5,Spain
C. Bravo,Claudio Andrés Bravo Muñoz,174543,79,79,39,184,80,1.9,13.0,56.0,83.0,83.0,79.0,79.0,77.0,GK,Right,Chile,La Liga,1,3,3,Real Betis,79.0,6.0,Press After Possession Loss,Possession,82,9.0,Spain
A. Witsel,Axel Laurent Angel Lambert Witsel,177413,79,79,33,186,81,8.5,51.0,38.0,63.0,77.0,75.0,78.0,75.0,"CDM, CM, CB",Right,Belgium,La Liga,3,4,3,Atlético Madrid,82.0,9.0,Pressure On Heavy Touch,Balanced,82,0.0,Spain
A. Sánchez,Alexis Alejandro Sánchez Sánchez,184941,79,79,33,169,62,11.0,48.0,73.0,80.0,79.0,84.0,44.0,67.0,ST,Right,Chile,Ligue 1,4,4,4,Olympique Marseille,78.0,8.0,Pressure On Heavy Touch,Forward Runs,89,67.5,France
Pedro,Pedro Eliezer Rodríguez Ledesma,189505,79,79,34,169,65,8.0,57.0,73.0,74.0,76.0,86.0,36.0,51.0,"LW, RW",Right,Spain,Serie A,4,5,3,Lazio,79.0,7.0,Press After Possession Loss,Possession,84,30.5,Italy
Guaita,Vicente Guaita Panadero,189690,79,79,35,190,80,1.9,29.0,48.0,78.0,78.0,77.0,78.0,80.0,GK,Right,Spain,Premier League,1,3,2,Crystal Palace,76.0,4.0,Balanced,Balanced,73,2.6,England
L. de Jong,Luuk de Jong,189805,79,79,31,189,86,15.0,24.0,45.0,78.0,71.0,70.0,46.0,77.0,ST,Right,Netherlands,Eredivisie,3,5,3,PSV,76.0,9.0,Pressure On Heavy Touch,Balanced,76,9.0,Netherlands
B. André,Benjamin André,190674,79,79,31,180,76,12.5,35.0,65.0,64.0,73.0,75.0,78.0,84.0,"CDM, CM",Right,France,Ligue 1,3,3,2,Lille,75.0,6.0,Pressure On Heavy Touch,Possession,77,9.0,France
M. Antonio,Michail Antonio,190717,79,79,32,178,82,14.0,79.0,81.0,75.0,73.0,77.0,55.0,83.0,ST,Right,Jamaica,Premier League,4,3,2,West Ham United,79.0,6.0,Balanced,Forward Runs,80,17.5,England
M. Silvestri,Marco Silvestri,190745,79,79,31,191,80,9.5,16.0,59.0,60.0,60.0,77.0,80.0,81.0,GK,Right,Italy,Serie A,1,3,1,Udinese,75.0,4.0,Balanced,Possession,69,0.95,Italy
D. Blind,Daley Blind,190815,79,79,32,180,72,12.0,56.0,41.0,62.0,82.0,78.0,80.0,70.0,"LB, CB",Left,Netherlands,Bundesliga,3,3,3,FC Bayern München,84.0,10.0,Pressure On Heavy Touch,Possession,80,13.5,Germany
N. Matić,Nemanja Matić,191202,79,79,33,194,83,8.5,60.0,38.0,67.0,76.0,72.0,78.0,72.0,"CDM, CM",Left,Serbia,Serie A,3,3,3,Roma,80.0,8.0,Balanced,Possession,83,21.0,Italy
Ander Herrera,Ander Herrera Agüera,191740,79,79,32,182,71,14.0,78.0,60.0,71.0,77.0,78.0,78.0,74.0,"CM, CDM",Right,Spain,La Liga,3,4,3,Athletic Club,79.0,7.0,Balanced,Forward Runs,84,32.0,Spain
Marcos Alonso,Marcos Alonso Mendoza,192638,79,79,31,188,85,12.5,115.0,53.0,74.0,80.0,77.0,77.0,75.0,"LB, CB",Left,Spain,La Liga,3,3,2,FC Barcelona,84.0,10.0,Balanced,Possession,81,17.5,Spain
R. Pereyra,Roberto Maximiliano Pereyra,193061,79,79,31,182,77,14.5,22.0,78.0,75.0,78.0,81.0,68.0,74.0,"CM, RM",Right,Argentina,Serie A,4,4,2,Udinese,75.0,4.0,Balanced,Possession,80,18.0,Italy
N. Gudelj,Nemanja Gudelj,193198,79,79,30,187,73,14.5,29.0,56.0,71.0,79.0,69.0,75.0,84.0,"CDM, CB",Right,Serbia,La Liga,3,2,2,Sevilla,81.0,8.0,Pressure On Heavy Touch,Possession,0,0.0,Spain
K. Kampl,Kevin Kampl,195365,79,79,31,178,66,14.5,55.0,66.0,66.0,80.0,81.0,64.0,62.0,"CM, CDM",Right,Slovenia,Bundesliga,3,4,2,RB Leipzig,81.0,8.0,Press After Possession Loss,Balanced,81,21.0,Germany
D. Ings,Daniel William John Ings,195859,79,79,29,178,73,17.5,95.0,72.0,82.0,70.0,78.0,45.0,70.0,ST,Right,England,Premier League,3,3,1,Aston Villa,79.0,5.0,Pressure On Heavy Touch,Forward Runs,76,10.0,England
Juanmi,Juan Miguel Jiménez López,197891,79,79,29,172,69,17.0,30.0,78.0,80.0,72.0,80.0,31.0,60.0,"LM, ST",Right,Spain,La Liga,3,3,1,Real Betis,79.0,6.0,Press After Possession Loss,Possession,77,12.5,Spain
M. Perin,Mattia Perin,198009,79,80,29,188,77,13.5,78.0,57.0,71.0,71.0,79.0,79.0,79.0,GK,Right,Italy,Serie A,1,3,2,Juventus,82.0,10.0,Pressure On Heavy Touch,Direct Passing,83,25.0,Italy
Sérgio Oliveira,Sérgio Miguel Relvas de Oliveira,198031,79,79,30,181,78,17.0,70.0,55.0,78.0,82.0,76.0,70.0,68.0,CM,Right,Portugal,Super Lig,3,4,1,Galatasaray,76.0,10.0,Pressure On Heavy Touch,Forward Runs,74,7.5,Turkey
João Pedro,João Pedro Geraldino dos Santos Galvão,199254,79,79,30,184,73,17.0,77.0,77.0,78.0,77.0,80.0,40.0,76.0,ST,Right,Italy,Super Lig,4,4,1,Fenerbahçe,76.0,9.0,Press After Possession Loss,Direct Passing,75,8.5,Turkey
M. Sels,Matz Willy Els Sels,199641,79,80,30,190,88,13.0,24.0,36.0,75.0,75.0,78.0,80.0,77.0,GK,Right,Belgium,Ligue 1,1,2,2,Strasbourg,75.0,5.0,Balanced,Balanced,75,6.0,France
G. Trauner,Gernot Trauner,199813,79,79,30,183,82,14.5,13.0,66.0,57.0,67.0,67.0,80.0,86.0,CB,Right,Austria,Eredivisie,2,3,2,Feyenoord,75.0,8.0,Press After Possession Loss,Balanced,67,0.85,Netherlands
L. Unnerstall,Lars Unnerstall,199833,79,79,31,198,103,9.5,13.0,32.0,63.0,63.0,78.0,80.0,79.0,GK,Right,Germany,Eredivisie,1,1,2,FC Twente,71.0,7.0,Press After Possession Loss,Direct Passing,71,2.0,Netherlands
L. Dunk,Lewis Dunk,199915,79,79,30,192,88,14.5,65.0,44.0,51.0,62.0,64.0,80.0,79.0,CB,Right,England,Premier League,2,3,1,Brighton & Hove Albion,76.0,3.0,Press After Possession Loss,Balanced,75,7.5,England
S. Rode,Sebastian Rode,200215,79,79,31,180,71,12.5,31.0,59.0,65.0,72.0,74.0,78.0,74.0,"CDM, CM",Right,Germany,Bundesliga,3,3,2,Eintracht Frankfurt,78.0,6.0,Press After Possession Loss,Forward Runs,78,10.5,Germany
Lucas Moura,Lucas Rodrigues Moura da Silva,200949,79,79,29,174,72,17.0,100.0,88.0,76.0,70.0,84.0,46.0,66.0,RW,Right,Brazil,Premier League,4,4,3,Tottenham Hotspur,81.0,8.0,Balanced,Balanced,82,28.0,England
A. Marchesín,Agustín Federico Marchesín,201095,79,79,34,188,85,3.0,21.0,54.0,76.0,76.0,77.0,79.0,80.0,GK,Right,Argentina,La Liga,1,3,1,Celta de Vigo,77.0,6.0,Pressure On Heavy Touch,Balanced,78,8.0,Spain
A. Marchesín,Agustín Federico Marchesín,201095,79,79,34,188,85,3.0,21.0,54.0,76.0,76.0,77.0,79.0,80.0,GK,Right,Argentina,La Liga,1,3,1,Celta de Vigo,77.0,6.0,Pressure On Heavy Touch,Balanced,78,8.0,Spain
Ismaily,Ismaily Gonçalves dos Santos,201119,79,79,32,177,82,12.0,35.0,81.0,64.0,74.0,80.0,74.0,74.0,LB,Left,Brazil,Ligue 1,4,2,2,Lille,75.0,6.0,Pressure On Heavy Touch,Possession,78,8.5,France
Ismaily,Ismaily Gonçalves dos Santos,201119,79,79,32,177,82,12.0,35.0,81.0,64.0,74.0,80.0,74.0,74.0,LB,Left,Brazil,Ligue 1,4,2,2,Lille,75.0,6.0,Pressure On Heavy Touch,Possession,78,8.5,France
J. Veretout,Jordan Veretout,201519,79,79,29,177,67,15.0,42.0,76.0,75.0,76.0,78.0,75.0,80.0,"CDM, CM",Right,France,Ligue 1,3,3,2,Olympique Marseille,78.0,8.0,Pressure On Heavy Touch,Forward Runs,77,12.0,France
Felipe Anderson,Felipe Anderson Pereira Gomes,201995,79,79,29,175,70,17.0,60.0,86.0,75.0,77.0,83.0,55.0,65.0,"RW, ST",Right,Brazil,Serie A,4,4,3,Lazio,79.0,7.0,Press After Possession Loss,Possession,81,24.0,Italy
C. Coady,Conor Coady,202048,79,79,29,186,80,14.5,80.0,47.0,57.0,75.0,66.0,80.0,73.0,CB,Right,England,Premier League,2,3,1,Everton,77.0,4.0,Balanced,Forward Runs,71,2.6,England
J. Draxler,Julian Draxler,202166,79,79,28,187,77,17.5,88.0,72.0,76.0,80.0,82.0,58.0,65.0,"LW, CAM",Right,Germany,Liga Portugal,4,5,3,Benfica,79.0,10.0,Press After Possession Loss,Balanced,84,39.5,Portugal
Suso,Jesús Joaquín Fernández Sáez de la Torre,202651,79,79,28,176,70,17.5,36.0,73.0,76.0,80.0,83.0,32.0,51.0,RW,Left,Spain,La Liga,4,3,2,Sevilla,81.0,8.0,Pressure On Heavy Touch,Possession,82,29.5,Spain
A. Florenzi,Alessandro Florenzi,203551,79,79,31,173,67,12.5,60.0,76.0,77.0,79.0,79.0,74.0,61.0,RB,Right,Italy,Serie A,3,4,3,Milan,81.0,9.0,Pressure On Heavy Touch,Forward Runs,82,22.0,Italy
Héctor Bellerín,Héctor Bellerín Moruno,203747,79,80,27,178,74,18.5,115.0,81.0,51.0,70.0,77.0,75.0,64.0,RB,Right,Spain,La Liga,3,2,3,FC Barcelona,84.0,10.0,Balanced,Possession,81,21.0,Spain
Mário Rui,Mário Rui Silva Duarte,204614,79,79,31,170,67,12.5,51.0,81.0,57.0,75.0,79.0,73.0,65.0,LB,Left,Portugal,Serie A,3,3,2,Napoli,80.0,9.0,Balanced,Forward Runs,77,8.5,Italy
R. Jiménez,Raúl Alonso Jiménez Rodríguez,204838,79,79,31,188,81,15.0,90.0,68.0,79.0,75.0,77.0,46.0,80.0,ST,Right,Mexico,Premier League,3,4,3,Wolverhampton Wanderers,78.0,5.0,Balanced,Forward Runs,78,12.5,England
Denis Suárez,Denis Suárez Fernández,205192,79,79,28,178,66,17.5,30.0,72.0,72.0,81.0,81.0,64.0,55.0,CM,Right,Spain,La Liga,3,3,2,Celta de Vigo,77.0,6.0,Pressure On Heavy Touch,Balanced,80,20.5,Spain
S. Umtiti,Samuel Yves Umtiti,205600,79,79,28,182,75,15.0,125.0,63.0,62.0,68.0,67.0,79.0,75.0,CB,Left,France,Serie A,2,3,3,Lecce,72.0,2.0,Pressure On Heavy Touch,Forward Runs,83,29.5,Italy
A. Cragno,Alessio Cragno,205659,79,80,28,184,78,14.0,6.0,39.0,73.0,73.0,79.0,77.0,80.0,GK,Right,Italy,Serie A,1,3,1,Monza,75.0,3.0,Balanced,Possession,72,3.8,Italy
A. Plea,Alassane Alexandre Pléa,206467,79,79,29,181,79,17.5,38.0,73.0,79.0,80.0,78.0,39.0,73.0,"CF, LM",Right,France,Bundesliga,4,3,2,Borussia Mönchengladbach,78.0,5.0,Balanced,Possession,80,20.5,Germany
Matheus,Matheus Lima Magalhães,208104,79,79,29,190,84,12.0,15.0,45.0,77.0,77.0,75.0,77.0,82.0,GK,Right,Brazil,Liga Portugal,1,3,1,Sporting Braga,76.0,8.0,Pressure On Heavy Touch,Direct Passing,76,7.5,Portugal
B. Djimsiti,Berat Djimsiti,208165,79,79,29,190,83,14.5,51.0,71.0,39.0,59.0,50.0,82.0,81.0,CB,Right,Albania,Serie A,2,3,1,Atalanta,79.0,7.0,Press After Possession Loss,Forward Runs,67,0.92,Italy
N. Aké,Nathan Aké,208920,79,81,27,180,75,18.5,105.0,76.0,53.0,70.0,71.0,80.0,77.0,"CB, LB",Left,Netherlands,Premier League,2,3,3,Manchester City,85.0,10.0,Press After Possession Loss,Possession,75,9.5,England
F. Schär,Fabian Lukas Schär,210047,79,79,30,188,84,14.5,81.0,54.0,67.0,72.0,70.0,81.0,74.0,CB,Right,Switzerland,Premier League,2,3,2,Newcastle United,79.0,5.0,Pressure On Heavy Touch,Balanced,75,7.0,England
R. Ghezzal,Rachid Ghezzal,210372,79,79,30,182,70,17.0,61.0,72.0,72.0,82.0,81.0,28.0,60.0,"RW, RM, CAM",Left,Algeria,Super Lig,4,3,2,Beşiktaş,74.0,8.0,Press After Possession Loss,Forward Runs,76,9.5,Turkey
Rubén García,Rubén García Santos,211022,79,79,28,171,71,17.5,35.0,77.0,76.0,79.0,79.0,45.0,54.0,"LM, CM, CAM",Left,Spain,La Liga,4,2,1,Osasuna,76.0,5.0,Balanced,Forward Runs,73,5.5,Spain
S. Dimitrievski,Stole Dimitrievski,211348,79,80,28,188,84,14.0,20.0,36.0,76.0,76.0,82.0,79.0,78.0,GK,Right,North Macedonia,La Liga,1,2,1,Rayo Vallecano,76.0,3.0,Balanced,Possession,71,2.8,Spain
M. Dembélé,Moussa Dembélé,211591,79,82,25,183,79,23.5,69.0,72.0,78.0,64.0,72.0,30.0,79.0,ST,Right,France,Ligue 1,3,3,2,Olympique Lyonnais,78.0,8.0,Pressure On Heavy Touch,Possession,75,11.0,France
I. Toney,Ivan Toney,212228,79,81,26,187,76,22.0,61.0,78.0,79.0,68.0,74.0,50.0,82.0,ST,Right,England,Premier League,3,3,1,Brentford,75.0,1.0,Press After Possession Loss,Forward Runs,65,0.98,England
S. Azmoun,Sardar Azmoun,213955,79,79,27,186,82,19.0,60.0,78.0,75.0,71.0,78.0,40.0,73.0,"ST, CAM",Right,Iran,Bundesliga,3,4,1,Bayer 04 Leverkusen,80.0,8.0,Press After Possession Loss,Balanced,77,13.5,Germany
F. Armani,Franco Armani,214584,79,79,35,189,88,1.9,10.0,43.0,69.0,69.0,74.0,80.0,78.0,GK,Right,Argentina,Liga Profesional,1,3,1,River Plate,76.0,10.0,Pressure On Heavy Touch,Possession,77,5.5,Unknown
A. Mitrović,Aleksandar Mitrović,215716,79,79,27,189,90,19.0,70.0,65.0,79.0,58.0,71.0,27.0,88.0,ST,Right,Serbia,Premier League,3,4,1,Fulham,76.0,2.0,Pressure On Heavy Touch,Balanced,75,9.0,England
D. Zappacosta,Davide Zappacosta,216150,79,79,30,182,75,15.0,48.0,78.0,66.0,73.0,74.0,75.0,72.0,"LWB, LM, RM",Right,Italy,Serie A,3,3,2,Atalanta,79.0,7.0,Press After Possession Loss,Forward Runs,79,13.5,Italy
L. Ajorque,Ludovic Ajorque,219733,79,79,28,197,92,18.0,36.0,73.0,79.0,61.0,70.0,43.0,84.0,ST,Left,France,Ligue 1,3,3,2,Strasbourg,75.0,5.0,Balanced,Balanced,63,0.52,France
Munir,Munir El Haddadi Mohamed,220253,79,79,26,175,69,19.0,33.0,77.0,78.0,75.0,82.0,35.0,64.0,"LM, RM, LW",Left,Morocco,La Liga,4,3,2,Getafe,77.0,5.0,Pressure On Heavy Touch,Forward Runs,75,9.5,Spain
M. Dúbravka,Martin Dúbravka,220407,79,79,33,190,80,5.5,66.0,46.0,79.0,79.0,76.0,76.0,78.0,GK,Right,Slovakia,Premier League,1,2,2,Newcastle United,79.0,5.0,Pressure On Heavy Touch,Balanced,63,0.26,England
M. Zaccagni,Mattia Zaccagni,220502,79,79,27,177,63,18.5,57.0,82.0,73.0,74.0,83.0,57.0,64.0,LW,Right,Italy,Serie A,4,4,1,Lazio,79.0,7.0,Press After Possession Loss,Possession,68,1.5,Italy
R. Tapia,Renato Fabrizio Tapia Cortijo,220673,79,81,26,185,80,19.5,26.0,68.0,66.0,71.0,69.0,79.0,84.0,"CDM, CM",Right,Peru,La Liga,3,4,1,Celta de Vigo,77.0,6.0,Pressure On Heavy Touch,Balanced,72,4.2,Spain
D. Sánchez,Davinson Sánchez Mina,220793,79,80,26,187,81,18.0,81.0,75.0,47.0,55.0,65.0,79.0,78.0,CB,Right,Colombia,Premier League,2,2,2,Tottenham Hotspur,81.0,8.0,Balanced,Balanced,81,21.5,England
D. Calvert-Lewin,Dominic Calvert-Lewin,221479,79,82,25,187,71,23.5,49.0,81.0,76.0,64.0,74.0,39.0,79.0,ST,Right,England,Premier League,3,2,2,Everton,77.0,4.0,Balanced,Forward Runs,65,1.2,England
V. Lindelöf,Victor Jörgen Nilsson Lindelöf,221660,79,80,27,187,80,17.5,100.0,59.0,51.0,72.0,71.0,81.0,75.0,CB,Right,Sweden,Premier League,3,4,2,Manchester United,82.0,8.0,Pressure On Heavy Touch,Possession,79,15.0,England
J. Weigl,Julian Weigl,222028,79,80,26,187,80,20.5,17.0,59.0,64.0,75.0,77.0,79.0,75.0,"CM, CDM",Right,Germany,Bundesliga,3,3,2,Borussia Mönchengladbach,78.0,5.0,Balanced,Possession,81,21.0,Germany
E. Ünal,Enes Ünal,223197,79,83,25,187,78,24.5,35.0,69.0,82.0,68.0,76.0,40.0,76.0,ST,Right,Turkey,La Liga,3,3,1,Getafe,77.0,5.0,Pressure On Heavy Touch,Forward Runs,74,9.0,Spain
J. Omlin,Jonas Omlin,223550,79,81,28,189,80,15.0,23.0,52.0,73.0,73.0,75.0,76.0,80.0,GK,Right,Switzerland,Ligue 1,1,4,1,Montpellier,75.0,4.0,Balanced,Forward Runs,63,0.42,France
W. Weghorst,Wout Weghorst,223689,79,79,29,197,84,17.5,59.0,59.0,77.0,60.0,69.0,52.0,87.0,ST,Right,Netherlands,Super Lig,2,3,2,Beşiktaş,74.0,8.0,Press After Possession Loss,Forward Runs,73,5.0,Turkey
A. Marušić,Adam Marušić,224031,79,79,29,185,85,15.5,51.0,84.0,66.0,67.0,74.0,75.0,79.0,"LB, RB",Right,Montenegro,Serie A,3,4,2,Lazio,79.0,7.0,Press After Possession Loss,Possession,71,2.6,Italy
A. Meret,Alex Meret,225116,79,82,25,190,83,18.0,39.0,44.0,70.0,70.0,75.0,79.0,79.0,GK,Left,Italy,Serie A,1,3,2,Napoli,80.0,9.0,Balanced,Forward Runs,74,10.5,Italy
E. Skhiri,Ellyes Joris Skhiri,225126,79,80,27,185,74,18.0,31.0,68.0,72.0,71.0,75.0,79.0,75.0,"CDM, CM",Right,Tunisia,Bundesliga,3,3,2,FC Köln,74.0,4.0,Press After Possession Loss,Direct Passing,74,6.5,Germany
David García,David García Zubiría,225341,79,80,28,185,72,16.5,32.0,61.0,37.0,65.0,65.0,80.0,75.0,CB,Right,Spain,La Liga,2,3,1,Osasuna,76.0,5.0,Balanced,Forward Runs,75,8.0,Spain
A. Golovin,Aleksandr Golovin,225663,79,80,26,178,69,20.5,55.0,77.0,72.0,78.0,82.0,60.0,66.0,"LM, RM, CAM",Right,Russia,Ligue 1,4,4,3,Monaco,77.0,8.0,Pressure On Heavy Touch,Possession,76,11.5,France
N. Pépé,Nicolas Pépé,226110,79,79,27,183,73,18.5,83.0,88.0,77.0,74.0,82.0,36.0,62.0,"RM, LM, LW",Left,Côte d'Ivoire,Ligue 1,4,2,2,Nice,77.0,6.0,Press After Possession Loss,Possession,72,4.6,France
N. Mukiele,Nordi Mukiele Mulere,226166,79,83,24,187,84,23.5,61.0,78.0,49.0,68.0,72.0,81.0,80.0,"RWB, CB",Right,France,Ligue 1,3,3,2,Paris Saint Germain,85.0,10.0,Press After Possession Loss,Possession,72,4.5,France
F. Dimarco,Federico Dimarco,226268,79,84,24,175,75,24.5,51.0,77.0,65.0,77.0,78.0,75.0,69.0,"LWB, LM, CB",Left,Italy,Serie A,3,2,2,Inter,83.0,9.0,Balanced,Forward Runs,63,0.7,Italy
Pablo Fornals,Pablo Fornals Malla,226456,79,80,26,178,67,20.5,72.0,67.0,73.0,79.0,79.0,69.0,71.0,"LM, CAM",Right,Spain,Premier League,4,3,2,West Ham United,79.0,6.0,Balanced,Forward Runs,77,14.0,England
M. Cash,Matty Cash,227174,79,82,24,185,74,22.0,65.0,80.0,67.0,71.0,75.0,74.0,76.0,"RB, RWB",Right,Poland,Premier League,3,2,2,Aston Villa,79.0,5.0,Pressure On Heavy Touch,Forward Runs,66,1.4,England
A. Rossi,Agustín Daniel Rossi,227275,79,83,26,195,95,19.0,16.0,41.0,72.0,72.0,76.0,79.0,80.0,GK,Right,Argentina,Liga Profesional,1,2,1,Boca Juniors,75.0,10.0,Balanced,Forward Runs,68,1.3,Unknown
E. Konsa,Ezri Konsa Ngoyo,227678,79,83,24,183,77,22.5,65.0,78.0,39.0,62.0,71.0,80.0,76.0,CB,Right,England,Premier League,2,3,2,Aston Villa,79.0,5.0,Pressure On Heavy Touch,Forward Runs,62,0.6,England
O. Zinchenko,Oleksandr Zinchenko,227813,79,82,25,175,64,21.5,73.0,68.0,65.0,80.0,80.0,77.0,69.0,LB,Left,Ukraine,Premier League,3,3,2,Arsenal,80.0,7.0,Balanced,Possession,72,5.0,England
S. Sensi,Stefano Sensi,229857,79,79,26,168,62,19.0,66.0,74.0,62.0,84.0,85.0,65.0,59.0,"CM, CAM",Right,Italy,Serie A,4,4,1,Monza,75.0,3.0,Balanced,Possession,75,10.0,Italy
A. Wan-Bissaka,Aaron Wan-Bissaka,229880,79,82,24,183,72,22.0,86.0,82.0,50.0,65.0,73.0,77.0,70.0,RB,Right,England,Premier League,3,2,2,Manchester United,82.0,8.0,Pressure On Heavy Touch,Possession,55,0.19,England
Emelvinson,Emelvin William Anjos Rochedo,230168,79,79,34,190,85,3.0,16.0,41.0,77.0,77.0,75.0,83.0,79.0,GK,Right,Brazil,Serie A,1,2,1,Bragantino,74.0,1.0,Press After Possession Loss,Balanced,77,6.0,Italy
Diego Essler,Ronaldo Diego Essler Domingues,230184,79,79,22,168,65,19.0,32.0,89.0,58.0,70.0,77.0,74.0,59.0,"LB, LM",Left,Brazil,Serie A,4,3,1,Atlético Mineiro,75.0,7.0,Pressure On Heavy Touch,Possession,77,6.5,Italy
Adnan Vidual,Adnan Claudiano Vidual Machado,230216,79,79,30,175,70,15.0,30.0,83.0,52.0,70.0,71.0,76.0,71.0,RB,Right,Brazil,Serie A,2,3,1,Internacional,74.0,7.0,Balanced,Direct Passing,65,0.48,Italy
Jorge Andrão,Everton Jorge Andrade Zanon,230234,79,79,26,177,75,17.0,27.0,67.0,62.0,74.0,75.0,78.0,76.0,"CDM, CM",Right,Brazil,Serie A,2,4,1,Fluminense,72.0,9.0,Balanced,Possession,76,3.1,Italy
Melvin Parrela,Melvin Luan Parrela Porfírio,230251,79,79,22,188,88,18.5,17.0,71.0,70.0,70.0,72.0,80.0,83.0,CDM,Right,Brazil,Serie A,2,3,1,Bragantino,74.0,1.0,Press After Possession Loss,Balanced,75,5.0,Italy
